"iris.Petal.Length","mylabel","iris.Species"
1.4,"L","setosa"
1.4,"L","setosa"
1.3,"L","setosa"
1.5,"L","setosa"
1.4,"L","setosa"
1.7,"H","setosa"
1.4,"L","setosa"
1.5,"L","setosa"
1.4,"L","setosa"
1.5,"L","setosa"
1.5,"L","setosa"
1.6,"L","setosa"
1.4,"L","setosa"
1.1,"L","setosa"
1.2,"L","setosa"
1.5,"L","setosa"
1.3,"L","setosa"
1.4,"L","setosa"
1.7,"H","setosa"
1.5,"L","setosa"
1.7,"H","setosa"
1.5,"L","setosa"
1,"L","setosa"
1.7,"H","setosa"
1.9,"M","setosa"
1.6,"L","setosa"
1.6,"L","setosa"
1.5,"L","setosa"
1.4,"L","setosa"
1.6,"L","setosa"
1.6,"L","setosa"
1.5,"L","setosa"
1.5,"L","setosa"
1.4,"L","setosa"
1.5,"L","setosa"
1.2,"L","setosa"
1.3,"L","setosa"
1.4,"L","setosa"
1.3,"L","setosa"
1.5,"L","setosa"
1.3,"L","setosa"
1.3,"L","setosa"
1.3,"L","setosa"
1.6,"L","setosa"
1.9,"H","setosa"
1.4,"L","setosa"
1.6,"L","setosa"
1.4,"L","setosa"
1.5,"L","setosa"
1.4,"L","setosa"
4.7,"H","versicolor"
4.5,"H","versicolor"
4.9,"H","versicolor"
4,"H","versicolor"
4.6,"H","versicolor"
4.5,"H","versicolor"
4.7,"H","versicolor"
3.3,"M","versicolor"
4.6,"H","versicolor"
3.9,"H","versicolor"
3.5,"M","versicolor"
4.2,"H","versicolor"
4,"H","versicolor"
4.7,"H","versicolor"
3.6,"H","versicolor"
4.4,"H","versicolor"
4.5,"H","versicolor"
4.1,"H","versicolor"
4.5,"H","versicolor"
3.9,"H","versicolor"
4.8,"H","versicolor"
4,"H","versicolor"
4.9,"H","versicolor"
4.7,"H","versicolor"
4.3,"H","versicolor"
4.4,"H","versicolor"
4.8,"H","versicolor"
5,"H","versicolor"
4.5,"H","versicolor"
3.5,"H","versicolor"
3.8,"H","versicolor"
3.7,"H","versicolor"
3.9,"H","versicolor"
5.1,"H","versicolor"
4.5,"H","versicolor"
4.5,"H","versicolor"
4.7,"H","versicolor"
4.4,"H","versicolor"
4.1,"H","versicolor"
4,"H","versicolor"
4.4,"H","versicolor"
4.6,"H","versicolor"
4,"H","versicolor"
3.3,"M","versicolor"
4.2,"H","versicolor"
4.2,"H","versicolor"
4.2,"H","versicolor"
4.3,"H","versicolor"
3,"H","versicolor"
4.1,"H","versicolor"
6,"H","virginica"
5.1,"H","virginica"
5.9,"H","virginica"
5.6,"H","virginica"
5.8,"H","virginica"
6.6,"H","virginica"
4.5,"M","virginica"
6.3,"H","virginica"
5.8,"H","virginica"
6.1,"H","virginica"
5.1,"H","virginica"
5.3,"H","virginica"
5.5,"H","virginica"
5,"H","virginica"
5.1,"H","virginica"
5.3,"H","virginica"
5.5,"H","virginica"
6.7,"H","virginica"
6.9,"H","virginica"
5,"H","virginica"
5.7,"H","virginica"
4.9,"H","virginica"
6.7,"H","virginica"
4.9,"H","virginica"
5.7,"H","virginica"
6,"H","virginica"
4.8,"H","virginica"
4.9,"H","virginica"
5.6,"H","virginica"
5.8,"H","virginica"
6.1,"H","virginica"
6.4,"H","virginica"
5.6,"H","virginica"
5.1,"H","virginica"
5.6,"H","virginica"
6.1,"H","virginica"
5.6,"H","virginica"
5.5,"H","virginica"
4.8,"H","virginica"
5.4,"H","virginica"
5.6,"H","virginica"
5.1,"H","virginica"
5.1,"H","virginica"
5.9,"H","virginica"
5.7,"H","virginica"
5.2,"H","virginica"
5,"H","virginica"
5.2,"H","virginica"
5.4,"H","virginica"
5.1,"H","virginica"
